,url,code,提出者種別,上場区分,連結の有無,資本金,決算日,name,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
3718,3718,E05692,内国法人・組合,上場,有,2795.0,3月末日,日本商業開発株式会社,"Nippon Commercial Development Co.,Ltd.",ニホンショウギョウカイハツカブシキガイシャ,大阪市中央区今橋四丁目１番１号,不動産業,32520.0,6120001095071.0
3719,3719,E05693,内国法人・組合,非上場,有,1577.0,3月31日,株式会社カービュー,Carview Corporation,カブシキガイシャカービュー,中央区晴海一丁目８番１０号,サービス業,,2010001047599.0
3720,3720,E05694,内国法人・組合,上場,無,516.0,3月31日,株式会社エヌ・ティ・ティ・データ・イントラマート,NTT DATA INTRAMART CORPORATION,カブシキガイシャエヌティティデータイントラマート,港区赤坂四丁目１５番１号,情報・通信業,38500.0,7010401040174.0
3721,3721,E05695,内国法人・組合,上場,有,1529.0,6月30日,株式会社トラスト・テック,Trust Tech Inc.,カブシキガイシャトラストテック,港区東新橋二丁目１４番１号,サービス業,21540.0,5010401078571.0
3722,3722,E05697,内国法人・組合,上場,有,2167.0,3月末日,株式会社エス・エム・エス,"SMS CO.,LTD",カブシキガイシャエスエムエス,港区芝公園二丁目１１番１号,サービス業,21750.0,2010001134117.0
3723,3723,E05698,内国法人・組合,上場,有,2062.0,3月31日,ＵＴグループ株式会社,"UT Group Co,.Ltd.",ユーティーグループカブシキガイシャ,品川区東五反田一丁目１１番１５号,サービス業,21460.0,6010701020975.0
3724,3724,E05699,内国法人・組合,上場,有,2275.0,3月31日,アステリア株式会社,ASTERIA Corporation,アステリアカブシキガイシャ,品川区大井１丁目４７番１号,情報・通信業,38530.0,2010701012175.0
3725,3725,E05700,内国法人・組合,上場,有,1761.0,3月31日,株式会社ＦＲＯＮＴＥＯ,"FRONTEO,Inc.",カブシキガイシャ　フロンテオ,港区港南二丁目１２番２３号,サービス業,21580.0,1010401051219.0
3726,3726,E05701,内国法人・組合,上場,有,294.0,3月31日,セーラー広告株式会社,SAYLOR ADVERTISING.INC.,セーラーコウコクカブシキガイシャ,高松市扇町二丁目７番２０号,サービス業,21560.0,9470001002353.0
3727,3727,E05702,内国法人・組合,上場,有,1819.0,11月30日,株式会社ネクスグループ,NCXX Group Inc.,カブシキガイシャネクスグループ,花巻市椚ノ目第２地割３２番地１,電気機器,66340.0,8400001008341.0
3728,3728,E05703,内国法人・組合,上場,無,399.0,12月31日,サイバーコム株式会社,,サイバーコムカブシキガイシャ,仙台市青葉区一番町２－７－１７　朝日生命仙台一番町ビル,情報・通信業,38520.0,5370001008868.0
